date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999987297874,1.000000001290997,46303774477
2024-12-25,1.0,0.9999999984554595,1.0000000015793133,46303774477
2024-12-26,1.0,0.9999999980819576,1.000000001856445,46303774477
2024-12-27,1.0,0.9999999974230979,1.0000000024872726,46303774477
2024-12-28,1.0,0.9999999957513849,1.0000000035102177,46303774477
2024-12-29,1.0,0.9999999943770143,1.0000000053050202,46303774477
2024-12-30,1.0,0.9999999924014499,1.0000000075357622,46303774477
2024-12-31,1.0,0.999999990210268,1.0000000099474557,46303774477
2025-01-01,1.0,0.9999999883206976,1.000000012047322,46303774477
2025-01-02,1.0,0.9999999861738633,1.0000000139805647,46303774477
2025-01-03,1.0,0.9999999836047863,1.000000016593223,46303774477
2025-01-04,1.0,0.9999999823453033,1.0000000187916545,46303774477
2025-01-05,1.0,0.9999999794334391,1.0000000218942866,46303774477
2025-01-06,1.0,0.9999999773019941,1.000000024106017,46303774477
2025-01-07,1.0,0.999999974589161,1.000000027253245,46303774477
2025-01-08,1.0,0.9999999722803998,1.0000000307328252,46303774477
2025-01-09,1.0,0.9999999690926706,1.0000000344682896,46303774477
2025-01-10,1.0,0.9999999671352574,1.0000000372107423,46303774477
2025-01-11,1.0,0.9999999638331062,1.000000040132199,46303774477
2025-01-12,1.0,0.9999999602759351,1.000000043169238,46303774477
2025-01-13,1.0,0.9999999564338836,1.0000000473924247,46303774477
2025-01-14,1.0,0.9999999527021719,1.0000000499796267,46303774477
2025-01-15,1.0,0.9999999489699958,1.0000000545901357,46303774477
2025-01-16,1.0,0.9999999464488548,1.0000000585268742,46303774477
2025-01-17,1.0,0.9999999406190323,1.0000000628427432,46303774477
2025-01-18,1.0,0.9999999380883393,1.000000066374573,46303774477
2025-01-19,1.0,0.9999999344150127,1.0000000718352469,46303774477
2025-01-20,1.0,0.999999931405512,1.000000075166991,46303774477
2025-03-04,1.9999996656589085,1.9999996656574308,1.9999996656603853,46303862950
2025-03-05,1.9999996656589087,1.9999996656574641,1.9999996656604186,46303862950
2025-03-06,1.9999996656589092,1.9999996656573715,1.999999665660503,46303862950
2025-03-07,1.9999996656589094,1.999999665657235,1.9999996656607146,46303862950
2025-03-08,1.9999996656589096,1.9999996656568229,1.9999996656609849,46303862950
2025-03-09,1.99999966565891,1.9999994044942908,1.9999996656619863,46303862950
2025-03-10,1.9999996656589103,1.9999663552532565,2.0000239635052632,46303862950
2025-03-11,1.9999996656589105,1.999939729832708,2.000058608961512,46303862950
2025-03-12,1.9999996656589107,1.9998742298994918,2.000115199687023,46303862950
2025-03-13,1.9999996656589112,1.999771270864878,2.000155853561351,46303862950
2025-03-14,1.9999996656589114,1.9996855815882881,2.0002198761269128,46303862950
2025-03-15,1.9999996656589116,1.9996140055343927,2.0002893108100954,46303862950
2025-03-16,1.9999996656589119,1.9995567948970503,2.0003587644499397,46303862950
2025-03-17,1.9999996656589123,1.999477147951856,2.0004219851354526,46303862950
2025-03-18,1.9999996656589125,1.9993787270832786,2.0005235637780436,46303862950
2025-03-19,1.9999996656589127,1.9992196733929384,2.0006289327080427,46303862950
2025-03-20,1.9999996656589132,1.9991883804921449,2.0007455296816854,46303862950
2025-03-21,1.9999996656589134,1.9991269186456537,2.000853160536575,46303862950
2025-03-22,1.9999996656589136,1.9990210241920416,2.000967065475771,46303862950
2025-03-23,1.9999996656589138,1.998913577464887,2.0010921330961993,46303862950
2025-03-24,1.9999996656589143,1.9988222430569347,2.0012315093047786,46303862950
2025-03-25,1.9999996656589145,1.9987040855937928,2.0013661363247004,46303862950
2025-03-26,1.9999996656589147,1.998618001691222,2.001499541709964,46303862950
2025-03-27,1.999999665658915,1.9984930903905567,2.0016668324850264,46303862950
2025-03-28,1.9999996656589154,1.99832244434499,2.001827758672054,46303862950
2025-03-29,1.9999996656589156,1.9981792638350753,2.0020057326957668,46303862950
2025-03-30,1.9999996656589158,1.998054982852599,2.0021676345250023,46303862950
2025-03-31,1.9999996656589163,1.9978953459749704,2.002350357845468,46303862950
2025-03-04,5.434594712288739,1.2158528203858345,9.483208975469331,46303877432
2025-03-05,4.865590756422694,0.6412328376291451,9.012838669046083,46303877432
2025-03-06,4.296586800556636,0.1690741248550328,8.70391177909714,46303877432
2025-03-07,3.727582844690591,-0.5648046954732271,7.824372608512244,46303877432
2025-03-08,3.1585788888245467,-0.7549490795364303,7.479582910037903,46303877432
2025-03-09,2.5895749329585023,-1.629555494456501,6.58400468421689,46303877432
2025-03-10,2.020570977092458,-2.163560921902787,6.279883076629433,46303877432
2025-03-11,1.4515670212264133,-2.510146310980153,5.75892046162082,46303877432
2025-03-12,0.8825630653603618,-3.455210323532803,4.9484489171904835,46303877432
2025-03-13,0.3135591094943173,-3.794442027483922,4.313327793477858,46303877432
2025-03-14,-0.25544484637172715,-4.345111195383542,4.02765668546683,46303877432
2025-03-15,-0.8244488022377716,-4.930624348694824,3.5354520424091187,46303877432
2025-03-16,-1.393452758103816,-5.73307644154203,2.9101941884039384,46303877432
2025-03-17,-1.9624567139698605,-5.886501083900341,2.2002436775384067,46303877432
2025-03-18,-2.531460669835919,-7.128929835693914,1.5076318949189957,46303877432
2025-03-19,-3.1004646257019637,-7.59729820697682,1.2398061203689703,46303877432
2025-03-20,-3.669468581568008,-7.961697545910695,0.4819593745980126,46303877432
2025-03-21,-4.238472537434053,-8.188647905701329,0.2514022442039612,46303877432
2025-03-22,-4.807476493300097,-8.64180954749357,-0.7011612843718978,46303877432
