ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-03,0.02464836756635412,44860383567,0,0.0,0.0,0.0,0.02464836756635412,,0.0
2025-02-10,0.04753169337260307,44860383567,0,0.0,0.0,0.0,0.04753169337260307,,0.0
2025-02-17,0.10140784179609941,44860383567,0,0.0,0.0,0.0,0.10140784179609941,,0.0
2025-02-24,0.1130664672733972,44860383567,0,0.0,0.0,0.0,0.1130664672733972,,0.0
2025-02-03,0.06783190830244405,4486038387,0,0.0,0.0,0.0,0.06783190830244405,,0.0
2025-02-10,0.09682961925169986,4486038387,0,0.0,0.0,0.0,0.09682961925169986,,0.0
2025-02-17,0.1371111706663275,4486038387,0,0.0,0.0,0.0,0.1371111706663275,,0.0
2025-02-24,0.14064398928330588,4486038387,1,0.0,0.0,0.0,0.8593560107166941,0.8593560107166941,0.0
2025-02-03,0.06082991502710222,44860384161,0,0.0,0.0,0.0,0.06082991502710222,,0.0
2025-02-10,0.008873653874110515,44860384161,0,0.0,0.0,0.0,0.008873653874110515,,0.0
2025-02-24,0.03811632285692619,44860384161,1,0.0,0.0,0.0,0.9618836771430738,0.9618836771430738,0.0
2025-02-03,0.38729063842700984,44860384494,0,0.0,0.0,0.0,0.38729063842700984,,0.0
2025-02-17,0.5285906729427154,44860384494,7,3675.0,525.0,277.5101032949256,6.471409327057285,0.9244870467224693,23782.42927693552
2025-02-03,0.04974878165914852,44860384733,0,0.0,0.0,0.0,0.04974878165914852,,0.0
2025-02-10,0.0267458586129556,44860384733,0,0.0,0.0,0.0,0.0267458586129556,,0.0
2025-02-17,0.026731073194811536,44860384733,0,0.0,0.0,0.0,0.026731073194811536,,0.0
2025-02-24,0.051269563002916255,44860384733,0,0.0,0.0,0.0,0.051269563002916255,,0.0
2025-02-03,0.008022768910289114,44860385094,1,1608.0,1608.0,12.900612407744896,0.9919772310897109,0.9919772310897109,1595.0993875922552
2025-02-10,0.012489539386252323,44860385094,0,0.0,0.0,0.0,0.012489539386252323,,0.0
2025-02-24,0.053631641402550626,44860385094,0,0.0,0.0,0.0,0.053631641402550626,,0.0
2025-02-03,0.32484744999094833,44860385362,0,0.0,0.0,0.0,0.32484744999094833,,0.0
2025-02-10,0.17815727773423318,44860385362,0,0.0,0.0,0.0,0.17815727773423318,,0.0
2025-02-17,0.05011618252041812,44860385362,0,0.0,0.0,0.0,0.05011618252041812,,0.0
2025-02-24,0.025941966555318788,44860385362,1,0.0,0.0,0.0,0.9740580334446812,0.9740580334446812,0.0
2025-02-03,-0.28651903325444844,746436995,0,0.0,0.0,-0.0,0.28651903325444844,,0.0
2025-02-10,-0.02523367182537173,746436995,0,0.0,0.0,-0.0,0.02523367182537173,,0.0
2025-02-17,0.1240836928867356,746436995,0,0.0,0.0,0.0,0.1240836928867356,,0.0
2025-02-24,-0.0050377266225044015,746436995,0,0.0,0.0,-0.0,0.0050377266225044015,,0.0
2025-02-03,-1.8661435784604365,7405700714,0,0.0,0.0,-0.0,1.8661435784604365,,0.0
2025-02-10,-2.054221174632102,7405700714,0,0.0,0.0,-0.0,2.054221174632102,,0.0
2025-02-24,4.228165132887674,7405700714,0,0.0,0.0,0.0,4.228165132887674,,0.0
2025-02-10,0.044443157912937986,44942965112,0,0.0,0.0,0.0,0.044443157912937986,,0.0
2025-02-03,0.381616952044387,15766844963,0,0.0,0.0,0.0,0.381616952044387,,0.0
2025-02-10,1.080761585269024,15766844963,0,0.0,0.0,0.0,1.080761585269024,,0.0
2025-02-17,1.0459484092083557,15766844963,1,0.0,0.0,0.0,0.045948409208355745,0.045948409208355745,0.0
2025-02-03,0.03051109988933015,45132580164,0,0.0,0.0,0.0,0.03051109988933015,,0.0
2025-02-10,0.01835038734216717,45132580164,0,0.0,0.0,0.0,0.01835038734216717,,0.0
2025-02-17,0.021147073136165866,45132580164,0,0.0,0.0,0.0,0.021147073136165866,,0.0
2025-02-24,0.03641406886776707,45132580164,0,0.0,0.0,0.0,0.03641406886776707,,0.0
2025-02-17,0.02435228759812827,45132656942,0,0.0,0.0,0.0,0.02435228759812827,,0.0
2025-02-03,-0.853702524618889,9629394497,0,0.0,0.0,-0.0,0.853702524618889,,0.0
2025-02-10,-1.2501191716290432,9629394497,0,0.0,0.0,-0.0,1.2501191716290432,,0.0
2025-02-17,-1.3007247721808728,9629394497,0,0.0,0.0,-0.0,1.3007247721808728,,0.0
2025-02-24,-0.9294568986847374,9629394497,0,0.0,0.0,-0.0,0.9294568986847374,,0.0
2025-02-03,0.345857564777041,4723910471,0,0.0,0.0,0.0,0.345857564777041,,0.0
2025-02-10,0.4154240687536477,4723910471,0,0.0,0.0,0.0,0.4154240687536477,,0.0
2025-02-17,0.5878965626788667,4723910471,1,0.0,0.0,0.0,0.4121034373211333,0.4121034373211333,0.0
2025-02-03,1.4838152188570235,4723833696,2,0.0,0.0,0.0,0.5161847811429765,0.25809239057148825,0.0
2025-02-24,1.5116199410445494,4723833696,2,0.0,0.0,0.0,0.48838005895545056,0.24419002947772528,0.0
2025-02-17,0.9341980816963383,4724133655,0,0.0,0.0,0.0,0.9341980816963383,,0.0
2025-02-24,0.6053376478169575,4724133655,2,0.0,0.0,0.0,1.3946623521830426,0.6973311760915213,0.0
2025-02-03,0.1802471256635199,45290923710,0,0.0,0.0,0.0,0.1802471256635199,,0.0
2025-02-10,0.2626457151240303,45290923710,0,0.0,0.0,0.0,0.2626457151240303,,0.0
